Fault  StrikeSlip      DipSlip          Extension
 168    -0.31+/-0.90    -0.29+/-1.22     -0.18+/-0.78
 169    -1.05+/-0.61    -0.70+/-0.70     -0.50+/-0.50
 170    -0.08+/-0.59    -0.60+/-0.69     -0.38+/-0.44
 171    -0.14+/-0.58    -0.56+/-0.70     -0.36+/-0.45
 172    -1.58+/-0.25     0.29+/-0.32      0.20+/-0.23
 173    -1.58+/-0.25     0.30+/-0.33      0.21+/-0.23
 174    -1.58+/-0.25     0.29+/-0.34      0.20+/-0.24
 175    -1.57+/-0.25     0.35+/-0.35      0.25+/-0.24
 176    -1.55+/-0.26     0.52+/-0.32      0.37+/-0.23
 177    -1.58+/-0.25     0.27+/-0.33      0.19+/-0.23
 178    -1.52+/-0.26     0.65+/-0.35      0.46+/-0.25
 179     0.20+/-0.71     0.65+/-0.93      0.46+/-0.66
 180    -1.40+/-1.02     0.79+/-1.27      0.56+/-0.90
 181    -1.50+/-0.26     0.73+/-0.36      0.51+/-0.26
 182     0.20+/-0.59    -0.02+/-0.53     -0.01+/-0.34
 183     0.39+/-0.31     1.96+/-0.43      1.26+/-0.28
 184    -0.52+/-0.58     0.17+/-0.96      0.04+/-0.25
 185     0.71+/-0.31     0.08+/-0.45      0.05+/-0.29
 186    -0.52+/-0.58     0.18+/-0.95      0.05+/-0.24
 187    -0.31+/-0.42    -0.04+/-0.75     -0.01+/-0.19
 188    -0.27+/-0.42    -0.56+/-0.73     -0.15+/-0.19
 189     0.19+/-0.56     0.09+/-0.63      0.06+/-0.40
 190    -0.31+/-0.42    -0.18+/-0.76     -0.05+/-0.20
 191    -2.00+/-0.45    -1.86+/-0.47     -1.32+/-0.33
 192    -0.31+/-0.43    -0.25+/-0.69     -0.07+/-0.18
 193    -1.78+/-0.35     0.15+/-0.77      0.04+/-0.20
 194    -1.71+/-0.34    -2.10+/-0.84     -0.54+/-0.22
 195    -1.76+/-0.34    -1.24+/-0.79     -0.32+/-0.21
 196    -1.69+/-0.34     2.17+/-0.84      0.56+/-0.22
 197    -2.17+/-0.93    -2.39+/-0.78     -1.69+/-0.55
 198    -2.68+/-0.79    -1.29+/-1.05     -0.91+/-0.74
 199    -1.76+/-0.71    -1.22+/-0.78     -0.86+/-0.55
 200    -2.58+/-0.40    -1.65+/-0.51     -1.06+/-0.33
 201    -2.71+/-0.40    -0.98+/-0.50     -0.63+/-0.32
 202    -2.71+/-0.39     0.98+/-0.52      0.63+/-0.33
 203    -2.60+/-0.66    -0.53+/-0.80     -0.37+/-0.57
 204    -2.44+/-0.55    -1.98+/-0.73     -1.27+/-0.47
 205    -2.55+/-0.40    -1.70+/-0.51     -1.09+/-0.33
 206    -0.29+/-0.69     0.40+/-0.92      0.25+/-0.59
 207    -0.71+/-0.71     0.51+/-0.89      0.33+/-0.57
 208    -1.59+/-0.71    -1.65+/-0.77     -1.16+/-0.55
 209    -0.27+/-0.69     0.43+/-0.92      0.28+/-0.59
 210    -1.64+/-0.90     0.11+/-1.17      0.08+/-0.83
 211    -0.51+/-0.53     0.42+/-0.74      0.29+/-0.52
 212    -0.57+/-0.53     0.24+/-0.74      0.17+/-0.53
 213     0.28+/-0.53     0.73+/-0.75      0.52+/-0.53
 214    -0.52+/-0.77    -1.52+/-1.10     -0.98+/-0.70
 215     0.10+/-0.53     0.81+/-0.75      0.57+/-0.53
 216    -0.58+/-0.53     0.18+/-0.74      0.13+/-0.53
 217     0.98+/-0.70    -2.48+/-0.86     -1.75+/-0.61
 218     1.10+/-0.81    -1.46+/-1.03     -1.03+/-0.73
 219     1.10+/-0.81    -1.45+/-1.03     -1.02+/-0.73
 220     0.03+/-0.63     1.69+/-0.78      1.20+/-0.55
 221    -0.02+/-0.63     1.70+/-0.78      1.21+/-0.55
 222     0.04+/-0.63     1.70+/-0.78      1.20+/-0.55
 223    -0.33+/-0.62     1.64+/-0.78      1.16+/-0.55
 224    -0.37+/-0.30     0.61+/-0.59      0.43+/-0.42
 225    -1.36+/-0.43     1.22+/-0.79      0.86+/-0.56
 226    -1.13+/-1.06     1.66+/-1.38      1.18+/-0.98
 227     0.91+/-1.08     1.69+/-1.37      1.20+/-0.97
 228     0.06+/-1.04    -1.12+/-1.39     -0.79+/-0.98
 229    -0.19+/-0.99    -1.26+/-1.35     -0.89+/-0.95
 230     0.14+/-0.50     0.43+/-1.28      0.30+/-0.91
 231     0.57+/-0.99     0.29+/-1.32      0.20+/-0.93
 232     0.94+/-0.49     0.09+/-0.96      0.06+/-0.68
 233    -2.07+/-0.66     3.51+/-0.92      2.48+/-0.65
 234    -0.94+/-0.73     1.34+/-1.24      0.95+/-0.88
 235    -0.03+/-0.36     0.77+/-0.48      0.54+/-0.34
 236    -0.54+/-0.48     0.23+/-0.82      0.17+/-0.58
 237     0.97+/-0.62    -0.26+/-0.72     -0.19+/-0.51
 238    -0.49+/-0.91    -1.19+/-1.04     -0.84+/-0.73
 239     0.13+/-0.95    -0.34+/-1.14     -0.24+/-0.81
 240     0.14+/-0.46     2.69+/-0.51      1.90+/-0.36
 241     0.08+/-0.59    -0.30+/-0.98     -0.21+/-0.69
 242     0.10+/-0.73     0.04+/-1.15      0.03+/-0.81
 243     0.18+/-0.87     0.19+/-1.20      0.13+/-0.85
 244    -0.93+/-0.94     0.75+/-1.32      0.53+/-0.94
 245    -0.25+/-0.38    -2.15+/-0.64     -1.52+/-0.45
 246     0.49+/-0.80    -0.29+/-1.26     -0.21+/-0.89
 247    -0.40+/-0.50     0.56+/-0.84      0.40+/-0.59
 248    -1.02+/-0.57    -0.48+/-0.68     -0.34+/-0.48
 249    -0.86+/-0.80     0.24+/-0.91      0.17+/-0.64
 250    -1.05+/-0.66     1.88+/-1.03      1.33+/-0.73
 251     1.26+/-0.89     1.15+/-1.22      0.81+/-0.86
 252    -0.91+/-0.66     1.06+/-1.18      0.75+/-0.83
 253    -0.61+/-0.25     0.60+/-0.50      0.42+/-0.35
 254    -0.22+/-0.52    -0.76+/-1.41     -0.54+/-1.00
 255    -0.78+/-0.66    -0.19+/-1.14     -0.14+/-0.81
 256    -0.87+/-0.56    -0.10+/-0.79     -0.07+/-0.56
 257    -0.58+/-0.79     0.03+/-1.02      0.02+/-0.72
 258    -3.55+/-0.87     1.78+/-1.20      1.26+/-0.85
 259    -0.88+/-0.54    -0.30+/-0.88     -0.21+/-0.62
 260    -0.22+/-0.68     1.41+/-1.09      1.00+/-0.77
 261    -0.35+/-0.63     0.75+/-1.13      0.53+/-0.80
 262    -0.63+/-0.38    -1.48+/-0.73     -1.05+/-0.51
 263    -0.07+/-0.37    -1.60+/-0.67     -1.13+/-0.48
 264    -0.41+/-0.63    -0.53+/-0.97     -0.38+/-0.69
 265    -0.26+/-0.71    -2.22+/-0.70     -1.57+/-0.50
 266    -0.56+/-0.61     3.10+/-0.87      2.19+/-0.61
 267     0.41+/-0.66    -0.93+/-0.91     -0.66+/-0.65
 268    -2.10+/-0.27     0.94+/-0.39      0.67+/-0.28
 269    -0.07+/-0.59     1.42+/-1.04      1.00+/-0.73
 270    -0.63+/-0.48    -0.00+/-0.72     -0.00+/-0.51
 271    -0.00+/-0.94    -0.13+/-1.41     -0.09+/-1.00
 272    -1.26+/-1.03     0.79+/-1.27      0.56+/-0.90
 273     0.88+/-0.55     0.36+/-0.85      0.25+/-0.60
 274    -0.98+/-0.31     0.18+/-0.39      0.13+/-0.27
 275     0.35+/-0.66     0.98+/-0.88      0.69+/-0.62
 276     0.04+/-0.68     0.37+/-1.06      0.26+/-0.75
 277     0.19+/-0.53     0.77+/-0.70      0.55+/-0.50
 278     0.19+/-0.57     0.09+/-0.53      0.06+/-0.38
 279    -1.49+/-0.30     2.92+/-0.74      2.06+/-0.52
 280     0.74+/-0.82    -1.07+/-1.03     -0.76+/-0.73
 281    -2.17+/-0.65    -1.86+/-0.99     -1.32+/-0.70
 282    -2.39+/-0.69    -0.96+/-1.10     -0.68+/-0.78
 283    -0.32+/-0.86    -0.06+/-0.99     -0.04+/-0.70
 284    -0.69+/-0.80    -0.37+/-1.17     -0.26+/-0.83
 285     0.92+/-0.42    -0.78+/-0.58     -0.55+/-0.41
 286    -0.57+/-0.53     0.22+/-0.74      0.15+/-0.53
 287     0.12+/-0.54    -0.39+/-0.98     -0.27+/-0.69
 288    -0.55+/-0.55     1.91+/-0.85      1.35+/-0.60
 289    -0.82+/-0.57     1.35+/-0.76      0.95+/-0.54
 290     0.03+/-0.47    -0.94+/-0.60     -0.66+/-0.43
 291     0.16+/-0.47    -0.90+/-0.59     -0.64+/-0.42
 292    -1.16+/-0.66    -0.42+/-0.88     -0.30+/-0.62
 293     0.29+/-0.57     2.96+/-0.91      2.09+/-0.64
 294    -1.51+/-0.29     0.78+/-0.59      0.55+/-0.42
 295     0.12+/-0.69    -0.22+/-0.87     -0.16+/-0.61
 296    -1.47+/-0.59     3.06+/-0.90      2.16+/-0.64
 297    -2.63+/-0.66    -0.11+/-0.80     -0.08+/-0.57
 298    -3.13+/-0.84    -0.03+/-1.05     -0.02+/-0.74
 299     0.57+/-0.65    -0.45+/-0.95     -0.32+/-0.67
 300     0.16+/-0.59     2.39+/-0.81      1.69+/-0.57
 
Block  PoleLat         PoleLon      WRate(deg/Myr)   LatLonCorr    N  VertAxis(deg/Myr)
   1  -37.2+/-61.4     166.0+/-38.1    0.136+/-0.083  -0.161       1   -0.026
   2  -28.1+/-102.8    172.4+/-70.0    0.077+/-0.075  -0.069       0   -0.002
   3  -34.4+/-118.8    178.3+/-72.9    0.072+/-0.078  -0.019       0   -0.003
   4  -30.8+/-85.9    -178.2+/-55.1    0.096+/-0.076   0.018       0    0.004
   5  -29.4+/-56.4     166.2+/-37.7    0.141+/-0.078  -0.133       0   -0.016
   6  -28.1+/-56.0     174.0+/-37.1    0.142+/-0.074  -0.056       2   -0.000
   7  -35.3+/-61.3     171.1+/-37.3    0.137+/-0.079  -0.104       2   -0.016
   8  -31.0+/-71.9     175.9+/-48.0    0.112+/-0.078  -0.040       0   -0.003
   9  -44.1+/-82.0     160.6+/-46.8    0.109+/-0.089  -0.258       2   -0.036
  10  -36.1+/-88.7     173.4+/-54.7    0.096+/-0.081  -0.076       1   -0.011
  11  -34.2+/-131.0    178.9+/-82.0    0.064+/-0.079  -0.013       0   -0.002
  12  -45.8+/-161.8    170.2+/-81.7    0.060+/-0.087  -0.146       1   -0.016
  13  -31.8+/-85.4     175.2+/-53.8    0.097+/-0.076  -0.051       0   -0.004
  14  -38.0+/-84.4     158.2+/-51.9    0.100+/-0.085  -0.269       0   -0.029
  15  -38.9+/-99.3     169.1+/-56.8    0.090+/-0.082  -0.140       0   -0.017
  16  -47.3+/-113.0    164.8+/-56.6    0.087+/-0.089  -0.229       0   -0.028
  17  -25.8+/-72.7     173.9+/-50.8    0.107+/-0.074  -0.051       0    0.002
  18  -50.2+/-9.9       98.5+/-19.1    0.277+/-0.090  -0.335       4   -0.240
  19  -30.2+/-54.8     176.3+/-35.3    0.149+/-0.076  -0.037       0    0.001
  20  -28.4+/-54.5     175.3+/-36.0    0.147+/-0.075  -0.045       0    0.001
  21  -30.1+/-57.5     178.4+/-37.3    0.141+/-0.076  -0.016       0    0.003
  22  -32.1+/-74.0     177.0+/-47.2    0.112+/-0.077  -0.032       1   -0.003
  23  -26.2+/-63.1    -176.5+/-45.4    0.121+/-0.074   0.028       1    0.014
  24  -33.6+/-93.9     177.7+/-60.7    0.088+/-0.079  -0.024       0   -0.004
  25  -34.5+/-99.1     174.9+/-62.7    0.084+/-0.080  -0.056       0   -0.007
  26  -54.7+/-116.7    146.9+/-60.0    0.086+/-0.097  -0.497       1   -0.046
  27  -54.1+/-46.9     120.4+/-43.4    0.136+/-0.101  -0.620       4   -0.099
  28  -31.5+/-72.6     173.4+/-48.1    0.111+/-0.078  -0.066       0   -0.006
  29  -40.0+/-122.0    174.7+/-68.4    0.074+/-0.083  -0.069       0   -0.011
  30  -29.4+/-150.6   -169.3+/-103.9   0.045+/-0.065   0.100       5    0.006
  31  -35.1+/-138.9    178.9+/-84.9    0.061+/-0.078  -0.013       0   -0.003
  32  -32.6+/-146.3    179.6+/-92.3    0.057+/-0.077  -0.005       0   -0.001
  33  -51.8+/-110.5    135.2+/-75.4    0.074+/-0.099  -0.571       2   -0.046
  34  -36.2+/-129.9    170.5+/-78.3    0.066+/-0.080  -0.113       0   -0.010
  35  -33.0+/-122.6    173.7+/-76.9    0.068+/-0.077  -0.069       0   -0.005
  36  -50.1+/-30.9     106.1+/-48.5    0.124+/-0.103  -0.525       2   -0.103
  37  -25.2+/-104.5   -178.2+/-72.4    0.073+/-0.070   0.015       0    0.008
  38  -30.2+/-62.2     172.0+/-40.4    0.131+/-0.077  -0.080       0   -0.007
  39  -29.5+/-76.1     177.9+/-48.9    0.108+/-0.074  -0.021       0    0.002
  40  -48.6+/-65.0     130.8+/-51.4    0.111+/-0.100  -0.577       1   -0.071
  41  -30.1+/-72.1     174.1+/-46.4    0.113+/-0.075  -0.060       0   -0.003
  42  -34.4+/-81.9     174.8+/-52.6    0.101+/-0.080  -0.056       1   -0.008
  43  -47.9+/-55.0     128.6+/-46.4    0.125+/-0.102  -0.575       2   -0.082
  44  -43.0+/-70.0     156.0+/-41.6    0.115+/-0.082  -0.313       4   -0.042
  45  -49.4+/-90.1     141.9+/-58.0    0.094+/-0.098  -0.492       3   -0.051
  46  -26.8+/-118.1   -170.5+/-84.8    0.065+/-0.075   0.079       2    0.010
  47  -39.1+/-163.5   -175.6+/-93.6    0.055+/-0.082   0.057       0   -0.003
  48  -49.9+/-13.3      92.6+/-29.9    0.213+/-0.108  -0.124       3   -0.192
  49  -35.0+/-57.3     174.4+/-34.4    0.149+/-0.079  -0.065       3   -0.011
  50  -49.0+/-48.0     139.2+/-32.2    0.158+/-0.090  -0.514       2   -0.089
  51  -32.2+/-86.2     177.4+/-56.1    0.095+/-0.078  -0.026       1   -0.002
  52  -33.7+/-85.2     177.1+/-54.9    0.097+/-0.079  -0.031       0   -0.005
  53  -43.1+/-65.2     149.5+/-41.1    0.128+/-0.091  -0.389       3   -0.054
  54  -29.2+/-58.1     176.0+/-38.1    0.139+/-0.075  -0.039       0    0.001
  55  -34.0+/-75.7     173.2+/-46.2    0.112+/-0.078  -0.077       0   -0.009
  56  -43.7+/-85.7     159.7+/-49.5    0.104+/-0.089  -0.267       1   -0.035
  57  -31.8+/-71.5     174.8+/-47.6    0.113+/-0.078  -0.052       1   -0.005
  58  -40.4+/-114.0    173.5+/-62.7    0.080+/-0.082  -0.087       1   -0.013
  59  -52.0+/-34.6     125.4+/-29.1    0.199+/-0.100  -0.600       1   -0.135
  60  -30.3+/-57.4     172.3+/-37.4    0.140+/-0.076  -0.076       0   -0.007
  61  -41.8+/-73.9     154.0+/-44.6    0.116+/-0.089  -0.340       1   -0.043
  62  -40.8+/-131.9    170.5+/-72.9    0.068+/-0.082  -0.127       1   -0.013
